ID,Inertia,Proactive,Flexibility
423,-1.16,0.27,0.01
425,0.97,0.27,-0.18
426,-0.13,0.32,-0.05
427,-0.03,0.34,0.10
428,0.31,-0.02,-0.28
430,-0.14,0.35,0.18
431,0.27,0.35,0.19
432,0.34,-0.25,0.20
433,-0.05,-0.64,-0.39
434,0.18,0.31,-0.12
435,0.49,-0.22,-0.23
436,-0.37,-0.25,0.01
437,0.51,0.44,0.35
438,0.35,0.43,-0.11
439,-0.19,0.37,0.28
441,0.75,0.63,0.39
442,-0.61,-0.17,-0.05
443,-0.43,-0.16,-0.23
444,-0.01,0.22,-0.34
445,0.35,0.33,0.01
446,0.84,0.19,0.36
447,0.53,-0.55,-0.15
448,0.04,-0.05,0.13
451,0.04,0.06,0.06
452,0.04,0.06,0.07
453,0.18,-0.37,-0.22
454,0.18,0.32,-0.06
455,-0.07,0.73,0.02
456,0.35,-0.24,-0.16
457,0.57,0.36,0.44
458,0.34,-0.07,0.22
459,0.65,0.30,0.26
460,0.15,0.39,0.46
461,0.21,0.55,0.26
462,0.22,-0.51,-0.11
464,0.72,-0.02,0.14
466,0.82,0.14,0.21
467,0.13,0.11,-0.67
468,-0.19,-0.27,-0.10
470,-0.13,-0.12,-0.16
471,0.49,-0.24,-0.13
474,0.05,-0.15,-0.17
475,0.28,0.59,0.12
476,0.04,-0.39,0.08
477,0.49,-0.25,-0.38
478,-0.06,-0.36,-0.11
479,-0.07,-0.11,0.10
480,0.42,0.04,-0.12
481,-0.47,0.66,0.40
482,-0.27,0.34,0.08
483,-0.45,-0.51,-0.10
484,1.00,0.55,0.58
486,-0.38,0.33,0.03
487,0.47,-0.14,-0.27
488,-0.44,0.14,0.16
489,0.34,-0.01,0.20
490,-0.61,-0.33,-0.10
491,-0.19,0.58,-0.20
492,0.03,0.09,0.24
493,0.66,-0.19,-0.19
495,-0.09,-0.33,0.07
497,-0.69,-0.24,0.30
498,-0.27,-0.05,0.13
500,-0.14,-0.07,0.23
501,0.05,-0.52,-0.01
502,-0.44,-0.33,0.10
503,0.35,-0.42,-0.13
504,-0.25,0.14,0.15
505,-0.03,0.30,0.25
506,0.60,-0.16,-0.23
507,0.35,-0.32,-0.06
508,-0.25,-0.20,-0.29
509,0.48,0.15,0.06
510,-0.34,-0.21,0.52
511,0.30,0.38,-0.06
512,-0.63,-0.22,-0.01
514,0.03,-0.27,0.30
515,0.42,-0.19,-0.18
516,-0.64,-0.25,0.22
517,0.01,0.08,-0.23
518,0.18,0.18,-0.18
520,0.29,-0.16,-0.22
521,-0.19,-0.16,-0.23
522,0.42,-0.22,-0.21
523,-0.31,-0.11,0.15
524,-0.44,-0.29,0.13
525,0.42,-0.13,-0.20
526,0.59,-0.25,-0.22
527,-0.05,-0.23,-0.50
528,0.27,0.08,0.22
529,-0.30,0.10,-0.29
530,-0.21,-0.64,0.29
531,-0.26,0.28,0.07
532,-0.37,-0.21,-0.12
533,0.41,0.35,0.14
534,0.41,0.29,0.18
535,0.12,0.08,-0.24
536,0.04,0.39,-0.03
537,0.49,-0.27,-0.40
538,0.18,-0.70,-0.16
539,0.81,-0.63,-0.54
540,0.35,0.21,0.05
541,0.05,0.06,-0.17
542,0.66,-0.31,-0.18
543,-0.24,-0.08,-0.56
544,0.35,-0.29,-0.06
545,-0.46,-0.44,0.17
546,0.27,-0.64,0.30
548,-0.01,-0.65,0.16
549,-0.15,0.25,0.06
550,-0.99,0.36,0.17
551,-0.34,-0.11,0.33
552,0.46,-0.15,-0.15
554,0.15,-0.18,0.11
555,0.28,-0.01,-0.02
557,-0.19,-0.34,0.02
558,0.12,-0.46,-0.38
559,-1.17,0.29,0.14
560,-0.05,-0.70,-0.38
561,0.36,-0.49,-0.16
562,-0.66,-0.74,-0.47
563,0.29,-0.58,-0.17
564,0.28,0.18,0.04
566,0.65,-0.22,0.22
567,0.43,-0.47,-0.46
568,0.18,-0.16,-0.22
569,-0.61,-0.14,-0.13
570,-0.19,-0.43,-0.22
573,0.17,0.13,-0.51
574,0.76,0.58,0.51
575,-0.26,-0.32,0.12
576,0.54,-0.08,0.13
579,0.18,-0.20,-0.10
580,-0.42,0.09,0.07
581,0.18,-0.37,-0.17
582,0.36,-0.37,-0.19
583,0.49,-0.10,-0.19
586,-0.67,-0.30,-0.17
587,0.04,0.09,0.06
588,-0.03,-0.08,0.33
589,-0.25,-0.07,0.21
590,-0.61,0.04,-0.11
591,0.18,-0.40,-0.18
592,-0.26,-0.20,0.11
593,0.49,-0.37,-0.23
594,-0.65,-1.12,-0.60
595,0.05,-0.26,-0.26
596,-0.31,0.29,0.17
598,-0.26,-0.11,-0.08
600,-0.60,-0.26,-0.29
601,0.36,0.02,-0.26
602,-0.19,0.24,-0.19
603,-0.86,-0.17,0.15
605,0.00,-0.62,-0.02
606,-0.38,0.09,0.25
607,0.37,0.01,-0.53
608,0.78,0.45,0.22
609,-0.15,-0.06,0.05
610,-0.81,0.52,0.06
